name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.046296296296296294,0.8148148148148149,0.9537037037037037,0.9074074074074074,1.0,0.9537037037037037
Enet,0.046296296296296294,0.8148148148148149,0.9537037037037037,0.9074074074074074,1.0,0.9537037037037037
Loger,0.0,1.0,1.0,1.0,1.0,1.0
Nearest Neighbors,0.037037037037037035,0.8518518518518519,0.962962962962963,1.0,0.9310344827586207,0.9629629629629629
Linear SVM,0.0,1.0,1.0,1.0,1.0,1.0
RBF SVM,0.37037037037037035,-0.4814814814814814,0.6296296296296297,0.25925925925925924,1.0,0.6296296296296297
Gaussian Process,0.0,1.0,1.0,1.0,1.0,1.0
Decision Tree,0.0,1.0,1.0,1.0,1.0,1.0
Random Forest,0.07407407407407407,0.7037037037037037,0.9259259259259259,0.9074074074074074,0.9423076923076923,0.9259259259259259
Neural Net,0.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,0.0,1.0,1.0,1.0,1.0,1.0
Naive Bayes,0.046296296296296294,0.8148148148148149,0.9537037037037037,0.9259259259259259,0.9803921568627451,0.9537037037037037
QDA,0.009259259259259259,0.962962962962963,0.9907407407407407,0.9814814814814815,1.0,0.9907407407407407
